Check	Result	Action taken / remaining action
GSE125449 active script	Found in original root	Moved to archive_not_used; README marks GSE125449 not used in current manuscript
GSE235863 ROC/AUC active script	Found in original 12_drug_repurposing.R	Archived old script; created 12_GSE235863_exploratory_association.R without ROC/PR/DCA/ML
Drug-repurposing wording	Found in original script name/README	Removed from active README and active script; legacy file archived
ENO1 single-gene emphasis	Found in original README and legacy figure scripts	Moved explicit ENO1 single-gene TCGA/figure restoration scripts to archive_not_used where feasible; README reframed ENO1 as readout component only
Manuscript-to-repository map	Absent	Added MANUSCRIPT_TO_REPOSITORY_MAP.tsv
Run order	Not explicit enough	Added RUN_ORDER.md
Data/claim boundaries	Needed	Added DATA_AND_CLAIM_BOUNDARIES.md
Code availability URL in manuscript	Current manuscript contains [GitHub URL] placeholder	Author should replace placeholder with final public repository URL before submission
Model diagnostic outputs	Partially represented in zip	Map notes that step6 diagnostics and S26 benchmarking outputs need local locked-output mapping if not committed
Supplementary warehouse completeness	Partially complete	Added map and audit; remaining gaps are leave-one-out/depth/Moran/benchmarking if their locked outputs are not in repo
