Manuscript item	Repository script or file	Status	Notes
Figure 1A-D	README.md; CODE_AVAILABILITY_NOTE.md; DATA_AND_CLAIM_BOUNDARIES.md	mapped	Study design, dataset roles, and interpretation boundaries.
Figure 2A-C	scripts/02_glycolysis_scoring.R; locked_source_data/single_cell/Fig2C_15391_tumor_hepatocyte_GlycoHigh_GlycoLow_FIXED.csv	completed	Authoritative GlycoHigh/GlycoLow assignment table.
Figure 2D	scripts/06_inferCNV_malignant.R	mapped	inferCNV is supportive malignant-feature evidence, not a perfect truth label.
Figure 3A-D	scripts/16_patient_level_ligand_effects.R	completed	Patient-aware MIF/SPP1/PTGES expression and detection summaries.
Figure 4A-B	scripts/03_cellchat_analysis.R	mapped	CellChat communication-potential inference only.
Figure 4C	scripts/15_NicheNet_analysis.R	mapped	NicheNet transcriptional-response prioritization only.
Figure 5A-C	scripts/11_spatial_transcriptomics.R	mapped	Spatial spot-level tissue co-enrichment and RCTD-adjusted support.
Figure 6	scripts/07_LASSO_risk_score.R; scripts/10_GSE14520_validation.R; scripts/revision/generate_revised_figure6.py	completed	Four-gene score is retrospective tissue-level readout, not a clinical assay.
Supplementary Figure S1	scripts/01_QC_clustering.R	mapped	Single-cell integration and patient/batch context.
Supplementary Figure S2	scripts/16_patient_level_ligand_effects.R	completed	Continuous ligand-glycolysis association context.
Supplementary Figure S5	scripts/03_cellchat_analysis.R	mapped	Subtype-resolved CellChat visualization.
Supplementary Figure S6	scripts/02_glycolysis_scoring.R	mapped	Technical covariate sensitivity for glycolysis score.
Supplementary Figure S8	scripts/18_LIANA_directional_concordance.R	mapped	Expression-level compatibility and LIANA directional-concordance check.
Supplementary Figure S9	scripts/03_cellchat_analysis.R	mapped	UMI downsampling CellChat sensitivity.
Supplementary Figure S15	scripts/08_glycolysis_gradient.R	completed	Locked glycolysis-gradient redraw from compact source data.
Supplementary Figure S18	scripts/11_spatial_transcriptomics.R	mapped	Full-resolution spatial GlycoHigh/GlycoLow spot maps.
Supplementary Figure S19	scripts/02_glycolysis_scoring.R	mapped	GCK-removal or related glycolysis-score robustness check.
